INFO - 100.png                   | Predicted: CRACK           
INFO - 101.png                   | Predicted: CRACK           
INFO - 102.png                   | Predicted: BRIDGE          
INFO - 103.png                   | Predicted: LER             
INFO - 104.png                   | Predicted: OTHERS          
INFO - 105.png                   | Predicted: BRIDGE          
INFO - 106.png                   | Predicted: PARTICLE        
INFO - 107.png                   | Predicted: CLEAN_LAYER     
INFO - 108.png                   | Predicted: OTHERS          
INFO - 109.png                   | Predicted: CRACK           
INFO - 110.png                   | Predicted: CLEAN_CRACK     
INFO - 111.png                   | Predicted: LER             
INFO - 113.png                   | Predicted: CLEAN_VIA       
INFO - 114.png                   | Predicted: CLEAN_LAYER     
INFO - 115.png                   | Predicted: VIA             
INFO - 116.png                   | Predicted: BRIDGE          
INFO - 117.png                   | Predicted: BRIDGE          
INFO - 119.png                   | Predicted: VIA             
INFO - 121.png                   | Predicted: CMP             
INFO - 122.png                   | Predicted: BRIDGE          
INFO - 124.png                   | Predicted: BRIDGE          
INFO - 125.png                   | Predicted: CLEAN_LAYER     
INFO - 127.png                   | Predicted: CLEAN_LAYER     
INFO - 128.png                   | Predicted: LER             
INFO - 129.png                   | Predicted: OTHERS          
INFO - 130.png                   | Predicted: LER             
INFO - 131.png                   | Predicted: PARTICLE        
INFO - 132.png                   | Predicted: OPEN            
INFO - 133.png                   | Predicted: OPEN            
INFO - 134.png                   | Predicted: LER             
INFO - 135.png                   | Predicted: LER             
INFO - 136.png                   | Predicted: CLEAN_CRACK     
INFO - 138.png                   | Predicted: OTHERS          
INFO - 140.png                   | Predicted: OTHERS          
INFO - 141.png                   | Predicted: BRIDGE          
INFO - 142.png                   | Predicted: PARTICLE        
INFO - 143.png                   | Predicted: LER             
INFO - 144.png                   | Predicted: OTHERS          
INFO - 145.png                   | Predicted: CMP             
INFO - 147.png                   | Predicted: CLEAN_VIA       
INFO - 148.png                   | Predicted: VIA             
INFO - 150.png                   | Predicted: CLEAN_LAYER     
INFO - 151.png                   | Predicted: CMP             
INFO - 152.png                   | Predicted: OTHERS          
INFO - 153.png                   | Predicted: OTHERS          
INFO - 154.png                   | Predicted: VIA             
INFO - 155.png                   | Predicted: CLEAN_LAYER     
INFO - 157.png                   | Predicted: LER             
INFO - 158.png                   | Predicted: CLEAN_VIA       
INFO - 160.png                   | Predicted: CRACK           
INFO - 161.png                   | Predicted: CMP             
INFO - 162.png                   | Predicted: OPEN            
INFO - 163.png                   | Predicted: BRIDGE          
INFO - 165.png                   | Predicted: CMP             
INFO - 166.png                   | Predicted: VIA             
INFO - 168.png                   | Predicted: CLEAN_LAYER     
INFO - 169.png                   | Predicted: LER             
INFO - 170.png                   | Predicted: BRIDGE          
INFO - 171.png                   | Predicted: CMP             
INFO - 172.png                   | Predicted: CRACK           
INFO - 173.png                   | Predicted: PARTICLE        
INFO - 174.png                   | Predicted: OTHERS          
INFO - 175.png                   | Predicted: CRACK           
INFO - 176.png                   | Predicted: LER             
INFO - 177.png                   | Predicted: CMP             
INFO - 178.png                   | Predicted: CLEAN_LAYER     
INFO - 179.png                   | Predicted: OTHERS          
INFO - 180.png                   | Predicted: CMP             
INFO - 181.png                   | Predicted: CMP             
INFO - 182.png                   | Predicted: CRACK           
INFO - 183.png                   | Predicted: OTHERS          
INFO - 185.png                   | Predicted: LER             
INFO - 187.png                   | Predicted: VIA             
INFO - 188.png                   | Predicted: VIA             
INFO - 190.png                   | Predicted: OTHERS          
INFO - 191.png                   | Predicted: CLEAN_LAYER     
INFO - 192.png                   | Predicted: CLEAN_CRACK     
INFO - 193.png                   | Predicted: PARTICLE        
INFO - 195.png                   | Predicted: OTHERS          
INFO - 196.png                   | Predicted: CMP             
INFO - 197.png                   | Predicted: CRACK           
INFO - 198.png                   | Predicted: CLEAN_VIA       
INFO - 199.png                   | Predicted: VIA             
INFO - 202.png                   | Predicted: LER             
INFO - 203.png                   | Predicted: OPEN        
INFO - 204.png                   | Predicted: BRIDGE          
INFO - 207.png                   | Predicted: OTHERS          
INFO - 208.png                   | Predicted: PARTICLE        
